Game,Platforms,Year,Genre,Publisher
Ski-Doo Snowmobile Challenge,PS3,2009,Racing,PQube
Skylanders Giants,PS3,2012,Action,Activision
Skylanders SWAP Force,"PS4, PS3",2013,Platform,Activision
Skylanders: Spyro's Adventure,PS3,2011,Action,Activision
Skylanders: Trap Team,"PS4, PS3",2014,Action,Activision
Sleeping Dogs,"PS4, PS3",2014,Action,Square Enix
Sly 2: Band of Thieves,PS3,2010,Platform,Sony Computer Entertainment
Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe
Sniper Elite 3,"PS4, PS3",2014,Action,505 Games
Sniper Elite V2,PS3,2012,Shooter,505 Games
Sniper: Ghost Warrior,PS3,2011,Shooter,City Interactive
Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PS3,2013,Sports,Sega
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment
Soldier of Fortune: Payback,PS3,2007,Shooter,Activision
Sonic & All-Stars Racing Transformed,PS3,2012,Racing,Sega
Sonic & SEGA All-Stars Racing,PS3,2010,Racing,Sega
Sonic Generations,PS3,2011,Platform,Sega
Sonic the Hedgehog,"PS4, PS3",2006,Platform,Sega
Sonic Unleashed,PS3,2008,Platform,Sega
Sonic's Ultimate Genesis Collection,PS3,2009,Misc,Sega
Sorcery,PS3,2012,Role-Playing,Sony Computer Entertainment
SoulCalibur IV,PS3,2008,Fighting,Ubisoft
SoulCalibur V,PS3,2012,Fighting,Namco Bandai Games
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft
Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive
Spider-Man 3,PS3,2007,Platform,Activision
Spider-Man: Edge of Time,PS3,2011,Action,Activision
Spider-Man: Shattered Dimensions,PS3,2010,Action,Activision
Spider-Man: Web of Shadows,PS3,2008,Action,Activision
Splatterhouse,PS3,N/A,Action,Namco Bandai Games
Split/Second,PS3,2010,Racing,Disney Interactive Studios
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment
SSX,PS3,2012,Sports,Electronic Arts
Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix
Star Trek: The Game,PS3,2013,Action,Namco Bandai Games
Star Wars The Clone Wars: Republic Heroes,PS3,2009,Action,LucasArts
Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts
Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts
Starhawk,PS3,2012,Action,Sony Computer Entertainment
Start the Party!,PS3,2010,Misc,Sony Computer Entertainment
Start the Party! Save the World,PS3,2011,Misc,Sony Computer Entertainment
Steins;Gate,PS3,2012,Adventure,5pb
Steins;Gate: Hiyoku Renri no Darling,PS3,2012,Adventure,5pb
Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013,Adventure,5pb
Stormrise,PS3,2009,Strategy,Sega
Stranglehold,PS3,2007,Shooter,Midway Games
Street Fighter IV,PS3,2009,Fighting,Capcom
Street Fighter X Tekken,PS3,2012,Fighting,Capcom
Strider (2014),PS3,2014,Action,Capcom
Stuntman: Ignition,PS3,2007,Racing,THQ
Summer Challenge: Athletics Tournament,PS3,2011,Sports,PQube
Super Hero Generation,PS3,2014,Role-Playing,Namco Bandai Games
Super Heroine Chronicle,PS3,2014,Role-Playing,Namco Bandai Games
Super Robot Taisen OG Infinite Battle,PS3,2013,Fighting,Namco Bandai Games
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,2013,Strategy,Namco Bandai Games
Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,PS3,2014,Strategy,Namco Bandai Games
SuperCar Challenge,PS3,2009,Racing,System 3 Arcade Software
Superstars V8 Racing,PS3,2009,Racing,Black Bean Games
Supremacy MMA,PS3,2011,Fighting,505 Games
Surf's Up,PS3,2007,Sports,Ubisoft
Suzumiya Haruhi no Tsuisou,PS3,2011,Adventure,Namco Bandai Games
Syndicate,PS3,2012,Shooter,EA Games
Tales of Graces f,PS3,2010,Role-Playing,Namco Bandai Games
Tales of Symphonia,PS3,2013,Role-Playing,Namco Bandai Games
Tales of Vesperia,PS3,2009,Role-Playing,Namco Bandai Games
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games
Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games
Tales of Zesteria,PS3,2015,Role-Playing,Namco Bandai Games
Tears to Tiara Gaiden: Avalon no Nazo,PS3,2009,Strategy,Aqua Plus
Tears to Tiara II: Haou no Matsuei,PS3,2013,Role-Playing,Nippon Ichi Software
Tears to Tiara: Kakan no Daichi,PS3,2008,Strategy,Aqua Plus
Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,2014,Action,Activision
Tekken 6,PS3,2009,Fighting,Namco Bandai Games
Tekken Hybrid,PS3,2011,Fighting,Namco Bandai Games
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games
Terminator Salvation,PS3,2009,Shooter,Warner Bros. Interactive Entertainment
Terraria,PS3,2013,Action,505 Games
Test Drive Unlimited 2,PS3,N/A,Racing,Atari
Test Drive: Ferrari Legends,PS3,2012,Racing,Unknown
The Adventures of Tintin: The Game,PS3,2011,Action,Ubisoft
The Amazing Spider-Man (Console Version),PS3,2012,Action,Activision
The Amazing Spider-Man 2 (2014),"PS4, PS3",2014,Action,Activision
The Beatles: Rock Band,PS3,2009,Misc,MTV Games
The BIGS,PS3,2007,Sports,Take-Two Interactive
The BIGS 2,PS3,2009,Sports,Take-Two Interactive
The Chronicles of Narnia: Prince Caspian,PS3,2008,Action,Disney Interactive Studios
The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,Vivendi Games
The Club,PS3,2008,Shooter,Sega
The Crew,PS4,2014,Racing,Ubisoft
The Cursed Crusade,PS3,2011,Action,DTP Entertainment
The Darkness,PS3,2007,Shooter,Take-Two Interactive
The Darkness II,PS3,2012,Shooter,Take-Two Interactive
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks
The Evil Within,"PS4, PS3",2014,Action,Bethesda Softworks
The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment
The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment
The God of War Trilogy,PS3,2010,Action,Sony Computer Entertainment
The Godfather II,PS3,2009,Action,Electronic Arts
The Godfather: Dons Edition,PS3,2007,Action,Electronic Arts
The Golden Compass,PS3,2007,Action,Sega
The Guided Fate: Cross Thesis Awakening,PS3,2014,Role-Playing,Nippon Ichi Software
The History Channel: Battle for the Pacific,PS3,2008,Shooter,Activision
The History Channel: Civil War - Secret Missions,PS3,2008,Shooter,Activision
The History Channel: Great Battles - Medieval,PS3,N/A,Strategy,Slitherine Software
The House of the Dead: Overkill - Extended Cut,PS3,2011,Shooter,Sega
The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment
The Idolm@ster 2,PS3,2011,Misc,Namco Bandai Games
The IdolM@ster: Gravure For You! Vol. 6,PS3,2012,Action,Namco Bandai Games
The IdolM@ster: One for All,PS3,2014,Misc,Namco Bandai Games
The Idolmaster: Gravure For You! Vol. 2,PS3,2011,Misc,Namco Bandai Games
The Idolmaster: Gravure For You! Vol. 3,PS3,2011,Misc,Namco Bandai Games
The Idolmaster: Gravure For You! Vol. 4,PS3,2012,Misc,Namco Bandai Games
The Idolmaster: Gravure For You! Vol. 5,PS3,2012,Misc,Namco Bandai Games
The Idolmaster: Gravure For You! Vol.7,PS3,2012,Action,Namco Bandai Games
The Idolmaster: Gravure For You! Vol.8,PS3,2012,Action,Namco Bandai Games
The Idolmaster: Gravure For You! Vol.9,PS3,2012,Action,Namco Bandai Games
The Incredible Hulk,PS3,2008,Action,Sega
The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment
The King of Fighters XII,PS3,2009,Fighting,Ignition Entertainment
The King of Fighters XIII,PS3,2011,Fighting,Rising Star Games
The Last Guy,PS3,2009,Action,Sony Computer Entertainment
The Last of Us,"PS4, PS3",2014,Adventure,Sony Computer Entertainment
The Legend of Heroes VI: Sora no Kiseki Second Chapter,PS3,2013,Role-Playing,Falcom Corporation
The Legend of Heroes VI: Sora no Kiseki the 3rd,PS3,2013,Role-Playing,Falcom Corporation
The Legend of Heroes: Sen no Kiseki,PS3,2013,Role-Playing,Nihon Falcom Corporation
The Legend of Heroes: Sen no Kiseki II,PS3,2014,Role-Playing,Nihon Falcom Corporation
The Legend of Spyro: Dawn of the Dragon,PS3,2008,Platform,Vivendi Games
The LEGO Movie Videogame,"PS4, PS3",2014,Action,Warner Bros. Interactive Entertainment
The Lord of the Rings: Aragorn's Quest,PS3,2010,Action,Warner Bros. Interactive Entertainment
The Lord of the Rings: Conquest,PS3,2009,Action,Electronic Arts
The Lord of the Rings: War in the North,PS3,N/A,Action,Warner Bros. Interactive Entertainment
The Orange Box,PS3,2007,Shooter,Electronic Arts
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011,Action,THQ
The Saboteur,PS3,2009,Action,Electronic Arts
The Shoot,PS3,2010,Shooter,Sony Computer Entertainment
The Simpsons Game,PS3,2007,Action,Electronic Arts
The Sims 3,PS3,2010,Simulation,Electronic Arts
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment
The Smurfs 2,PS3,2013,Action,Ubisoft
The Testament of Sherlock Holmes,PS3,2012,Adventure,Focus Home Interactive
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix
The Walking Dead: A Telltale Games Series,"PS4, PS3",2014,Adventure,Telltale Games
The Walking Dead: Season Two,"PS4, PS3",2014,Adventure,Telltale Games
The Walking Dead: Survival Instinct,PS3,2013,Misc,Activision
The Witch and the Hundred Soldiers,PS3,2013,Role-Playing,Nippon Ichi Software
The Witness,PS4,2014,Puzzle,Unknown
The Wolf Among Us,"PS4, PS3",2014,Adventure,Telltale Games
The X-Factor,PS3,2010,Misc,Deep Silver
Thief (2014),"PS4, PS3",2014,Action,Square Enix
Thor: God of Thunder,PS3,2011,Action,Sega
Tiger Woods PGA Tour 07,PS3,2006,Sports,Electronic Arts
Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts
Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts
Tiger Woods PGA Tour 10,PS3,2009,Sports,Electronic Arts
Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts
Tiger Woods PGA Tour 13,PS3,2012,Sports,Electronic Arts
Tiger Woods PGA Tour 14,PS3,2013,Sports,Electronic Arts
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games
Time Crisis: Razing Storm,PS3,2010,Shooter,Namco Bandai Games
TimeShift,PS3,2007,Shooter,Vivendi Games
TNA iMPACT!,PS3,2008,Fighting,Midway Games
To Heart 2 DX Plus,PS3,2011,Adventure,Aqua Plus
Tokitowa: Time and Eternity,PS3,2012,Action,Nippon Ichi Software
Tokyo Jungle,PS3,2012,Action,Sony Computer Entertainment
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft
Tom Clancy's HAWX,PS3,2009,Action,Ubisoft
Tom Clancy's HAWX 2,PS3,2010,Action,Ubisoft
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft
Tom Clancy's Splinter Cell Trilogy,PS3,2011,Action,Ubisoft
Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft
Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,Ubisoft
Tomb Raider (2013),"PS4, PS3",2014,Action,Square Enix
Tomb Raider: Underworld,PS3,2008,Adventure,Eidos Interactive
Tony Hawk: RIDE,PS3,2009,Sports,Activision
Tony Hawk: Shred,PS3,2010,Sports,Activision
Tony Hawk's Project 8,PS3,2006,Sports,Activision
Tony Hawk's Proving Ground,PS3,2007,Sports,Activision
Top Gun,PS3,2011,Simulation,505 Games
Top Gun: Hard Lock,PS3,2012,Action,505 Games
Top Spin 3,PS3,2008,Sports,Take-Two Interactive
Top Spin 4,PS3,2011,Sports,Take-Two Interactive
Tornado Outbreak,PS3,2009,Action,Konami Digital Entertainment
Toro to Morimori,PS3,2009,Misc,Sony Computer Entertainment
Touch Shot! Love Application,PS3,2012,Adventure,Compile Heart
Tour de France 2014,PS4,2014,Sports,Focus Home Interactive
Toy Story 3: The Video Game,PS3,2010,Action,Disney Interactive Studios
Transformer: Rise of the Dark Spark,"PS4, PS3",2014,Action,Activision
Transformers: Dark of the Moon,PS3,2011,Action,Activision
Transformers: Fall of Cybertron,PS3,2012,Action,Activision
Transformers: Revenge of the Fallen,PS3,2009,Action,Activision
Transformers: The Game,PS3,2007,Action,Activision
Transformers: War for Cybertron,PS3,2010,Action,Activision
Trials Fusion,PS4,2014,Racing,Ubisoft
Trinity Universe,PS3,2009,Role-Playing,Nippon Ichi Software
TRINITY: Souls of Zill O'll,PS3,2010,Role-Playing,Ubisoft Annecy
Trivial Pursuit,PS3,2009,Misc,Electronic Arts
TRON: Evolution,PS3,2010,Action,Disney Interactive Studios
Tropico 5,PS4,2014,Action,Kalypso Media
Truth or Lies,PS3,2010,Misc,THQ
Tsukigime Ranko's Longest Day,PS3,2014,Action,Namco Bandai Games
Turbo: Super Stunt Squad,PS3,2013,Sports,D3Publisher
Turning Point: Fall of Liberty,PS3,2008,Shooter,Codemasters
Turok,PS3,2008,Shooter,Touchstone
TV Superstars,PS3,2010,Misc,Sony Computer Entertainment
Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment
Two Worlds II,PS3,2011,Role-Playing,Unknown
UEFA Euro 2008 Austria-Switzerland,PS3,2008,Sports,Electronic Arts
UFC 2009 Undisputed,PS3,2009,Fighting,THQ
UFC Personal Trainer: The Ultimate Fitness System,PS3,2011,Sports,THQ
UFC Undisputed 2010,PS3,2010,Fighting,THQ
UFC Undisputed 3,PS3,2012,Fighting,THQ
Ultimate Marvel vs. Capcom 3,PS3,2011,Fighting,Capcom
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,N/A,Adventure,N/A
Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,PS3,2010,Adventure,Alchemist
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment
Under Night In-Birth,PS3,2014,Fighting,Nippon Ichi Software
Unreal Tournament III,PS3,2007,Shooter,Midway Games
Untold Legends: Dark Kingdom,PS3,2006,Role-Playing,Electronic Arts
Up,PS3,2009,Adventure,THQ
Valkyria Chronicles,PS3,2008,Role-Playing,Sega
Vampire Rain: Altered Species,PS3,2008,Action,Ignition Entertainment
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010,Sports,Sega
Vanquish,PS3,2010,Adventure,Sega
Venetica,PS3,2010,Role-Playing,DTP Entertainment
Viking: Battle for Asgard,PS3,2008,Action,Sega
Vin Diesel: Wheelman,PS3,2009,Racing,Ubisoft
Virtua Fighter 5,PS3,2007,Fighting,Sega
Virtua Tennis 2009,PS3,2009,Sports,Sega
Virtua Tennis 3,PS3,2007,Sports,Sega
Virtua Tennis 4,PS3,2011,Sports,Sega
Wall-E,PS3,2008,Platform,THQ
Wangan Midnight,PS3,2007,Racing,Genki
Wanted: Weapons of Fate,PS3,2009,Shooter,Warner Bros. Interactive Entertainment
"Warhammer 40,000: Space Marine",PS3,2011,Shooter,THQ
Warhawk,PS3,2007,Simulation,Sony Computer Entertainment
Warriors Orochi 3,"PS4, PS3",2014,Action,Tecmo Koei
Warriors: Legends of Troy,PS3,2011,Action,Tecmo Koei
Watch Dogs,"PS4, PS3",2014,Action,Ubisoft
Watchmen: The End is Nigh - The Complete Experience,PS3,2009,Action,Warner Bros. Interactive Entertainment
Way of the Samurai 3,PS3,2008,Action,Gamebridge
Way of the Samurai 4,PS3,2011,Action,Nippon Ichi Software
Wet,PS3,2009,Shooter,Bethesda Softworks
Where the Wild Things Are,PS3,2009,Platform,Warner Bros. Interactive Entertainment
White Album 2: Shiawase no Mukougawa,PS3,2012,Adventure,Aqua Plus
White Album: Tsuzurareru Fuyu no Omoide,PS3,2010,Adventure,Aqua Plus
White Knight Chronicles II,PS3,2010,Role-Playing,Sony Computer Entertainment
White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment
Winning Post 7 2010,PS3,2010,Sports,Tecmo Koei
Winning Post 7 2012,PS3,2012,Sports,Ackkstudios
Winning Post 7 2013,PS3,2013,Sports,Tecmo Koei
Winning Post 7 Maximum 2008,PS3,2008,Sports,Tecmo Koei
Winning Post 7: Maximum 2007,PS3,2007,Sports,Tecmo Koei
Winning Post 8,PS3,2014,Action,Tecmo Koei
Winning Post World,PS3,2009,Sports,Tecmo Koei
Winning Post World 2010,PS3,2010,Sports,Tecmo Koei
Winter Sports 2011,PS3,2011,Sports,DTP Entertainment
Winter Sports 3: The Great Tournament,PS3,2010,Sports,Tradewest
Winter Stars,PS3,2011,Sports,Deep Silver
Wipeout 2,PS3,2011,Misc,Activision
WipEout HD Fury,PS3,2009,Racing,Sony Computer Entertainment
Wizardry Twin Pack,PS3,2011,Role-Playing,Acquire
Wolfenstein,PS3,2009,Shooter,Activision
Wolfenstein: The New Order,"PS4, PS3",2014,Shooter,Bethesda Softworks
World Series of Poker 2008: Battle for the Bracelets,PS3,2007,Misc,Activision
World Snooker Championship 2007,PS3,2007,Sports,Sega
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS3,2010,Sports,Konami Digital Entertainment
Worms,PS3,2009,Strategy,Sony Computer Entertainment
WRC 2: FIA World Rally Championship,PS3,2011,Racing,Ubisoft
WRC: FIA World Rally Championship,PS3,N/A,Racing,Black Bean Games
WSC REAL 09: World Snooker Championship,PS3,2009,Sports,Deep Silver
WSC Real 11: World Snooker Championship,PS3,2011,Sports,Koch Media
WWE '12,PS3,2011,Fighting,THQ
WWE '13,PS3,2012,Action,THQ
WWE 2K14,PS3,2013,Sports,Take-Two Interactive
WWE 2K15,"PS4, PS3",2014,Sports,Take-Two Interactive
WWE All Stars,PS3,2011,Fighting,THQ
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ
WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ
WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ
X-Blades,PS3,2009,Action,SouthPeak Games
X-Men Origins: Wolverine - Uncaged Edition,PS3,2009,Action,Activision
X-Men: Destiny,PS3,2011,Action,Activision
XBLAZE Code: Embryo,PS3,2013,Adventure,Arc System Works
XCOM,PS3,2013,Shooter,Take-Two Interactive
XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive
Yaiba: Ninja Gaiden Z,PS3,2014,Action,Tecmo Koei
Yakuza,PS3,2012,Adventure,Sega
Yakuza 3,PS3,2009,Adventure,Sega
Yakuza 4,PS3,N/A,Adventure,Sega
Yakuza 5,PS3,2012,Action,Sega
Yakuza: Dead Souls,PS3,2011,Shooter,Sega
Yakuza: Ishin,"PS4, PS3",2014,Action,Sega
Yoostar2,PS 3,2011,Misc,Unknown
You Don't Know Jack,PS3,2011,Misc,THQ
Young Justice: Legacy,PS3,2013,Adventure,Namco Bandai Games
Zillions of Enemy X: Zetsukai no Crusade,PS3,2013,Role-Playing,Nippon Ichi Software
Zone of the Enders HD Collection,PS3,2012,Simulation,Konami Digital Entertainment
Zumba Fitness,PS3,2010,Sports,505 Games
