Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
241,Bayonetta,X360,2009,Action,Sega,0.5,0.24,0.09,0.08,0.91
242,Just Dance 2014,X360,2013,Misc,Ubisoft,0.67,0.17,0,0.06,0.91
243,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.57,0.26,0,0.08,0.91
244,NCAA Football 11,X360,2010,Sports,Electronic Arts,0.85,0,0,0.06,0.91
245,Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.58,0.24,0,0.08,0.9
246,Dante's Inferno,X360,2010,Action,Electronic Arts,0.61,0.2,0.02,0.07,0.9
247,Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.29,0.32,0.21,0.07,0.9
248,Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.57,0.24,0.01,0.09,0.9
249,LEGO Harry Potter: Years 5-7,X360,N/A,Action,Warner Bros. Interactive Entertainment,0.46,0.35,0,0.09,0.89
250,Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.67,0.15,0,0.07,0.89
251,Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.43,0.26,0.11,0.08,0.88
252,Wipeout: In The Zone,X360,2011,Misc,Activision,0.83,0,0,0.05,0.88
253,F1 2010,X360,2010,Racing,Codemasters,0.17,0.59,0.01,0.1,0.87
254,The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.72,0.1,0,0.06,0.87
255,Crysis 3,X360,2013,Shooter,Electronic Arts,0.48,0.31,0.01,0.07,0.87
256,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.43,0.35,0,0.08,0.86
257,DiRT,X360,2007,Racing,Codemasters,0.37,0.4,0,0.09,0.86
258,GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.86
259,Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.46,0.31,0,0.09,0.86
260,Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.46,0.31,0,0.08,0.85
261,Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.46,0.29,0.01,0.08,0.85
262,Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.53,0.24,0.01,0.07,0.85
263,NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.78,0,0,0.06,0.84
264,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.31,0.42,0.02,0.09,0.84
265,Sleeping Dogs,X360,2012,Action,Square Enix,0.35,0.4,0.01,0.08,0.84
266,Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.59,0.18,0,0.07,0.84
267,FIFA Street,X360,2012,Sports,Electronic Arts,0.13,0.61,0,0.1,0.84
268,Rock Band 3,X360,2010,Misc,MTV Games,0.69,0.09,0,0.05,0.83
269,The Witcher 2: Assassins of Kings,X360,2012,Role-Playing,Namco Bandai Games,0.42,0.3,0.02,0.07,0.82
270,Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.5,0.25,0,0.07,0.81
271,Sniper Elite V2,X360,2012,Shooter,505 Games,0.44,0.28,0.02,0.07,0.81
272,Plants vs Zombies: Garden Warfare,X360,2014,Action,Electronic Arts,0.33,0.39,0,0.08,0.81
273,Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,0.11,0.58,0.03,0.08,0.8
274,Shaun White Snowboarding,X360,N/A,Sports,Ubisoft,0.47,0.25,0,0.08,0.8
275,Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.56,0.17,0,0.06,0.8
276,Stranglehold,X360,2007,Shooter,Midway Games,0.38,0.33,0.01,0.08,0.79
277,DiRT 2,X360,2009,Racing,Codemasters,0.31,0.39,0,0.09,0.79
278,DJ Hero 2,X360,2010,Misc,Activision,0.61,0.12,0,0.06,0.78
279,Guitar Hero: Metallica,X360,2009,Misc,Activision,0.51,0.2,0,0.07,0.78
280,Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.54,0.18,0,0.06,0.78
281,The Godfather II,X360,2009,Action,Electronic Arts,0.46,0.23,0.01,0.08,0.77
282,Star Ocean: The Last Hope,X360,2009,Role-Playing,Square Enix,0.31,0.19,0.21,0.06,0.77
283,Tom Clancy's Splinter Cell: Double Agent,X360,2006,Action,Ubisoft,0.66,0.05,0.01,0.06,0.77
284,Too Human,X360,2008,Role-Playing,Microsoft Game Studios,0.37,0.29,0.03,0.08,0.77
285,The Lord of the Rings: War in the North,X360,N/A,Action,Warner Bros. Interactive Entertainment,0.46,0.24,0,0.07,0.77
286,Lips,X360,2008,Misc,Microsoft Game Studios,0.11,0.55,0,0.1,0.77
287,Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Fighting,Namco Bandai Games,0.42,0.27,0.01,0.07,0.77
288,Dead Island: Riptide,X360,2013,Action,Deep Silver,0.43,0.26,0.01,0.06,0.77
289,James Cameron's Avatar: The Game,X360,2009,Action,Ubisoft,0.33,0.35,0,0.08,0.76
290,Darksiders II,X360,2012,Action,THQ,0.43,0.27,0,0.06,0.76
291,Band Hero,X360,2009,Misc,Activision,0.49,0.21,0,0.07,0.76
292,Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios,0.65,0.02,0.03,0.06,0.76
293,Prototype 2,X360,2012,Action,Activision,0.46,0.24,0,0.06,0.76
294,Kane & Lynch: Dead Men,X360,2007,Shooter,Eidos Interactive,0.36,0.31,0.01,0.08,0.76
295,Dragon's Dogma,X360,2012,Adventure,Capcom,0.39,0.23,0.07,0.06,0.75
296,Rayman Origins,X360,2011,Platform,Ubisoft,0.35,0.32,0,0.08,0.75
297,Resident Evil: Operation Raccoon City,X360,2012,Shooter,Capcom,0.53,0.14,0.03,0.05,0.75
298,Rockstar Games presents Table Tennis,X360,2006,Sports,Take-Two Interactive,0.28,0.38,0,0.08,0.74
299,UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,0.51,0.18,0,0.06,0.74
300,Banjo-Kazooie: Nuts & Bolts,X360,2008,Platform,Microsoft Game Studios,0.31,0.34,0,0.08,0.74
301,Fight Night Champion,X360,2011,Fighting,Electronic Arts,0.38,0.3,0,0.07,0.74
302,Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.34,0.33,0,0.07,0.74
303,Lost Planet 2,X360,2010,Shooter,Capcom,0.37,0.23,0.08,0.06,0.74
304,South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.43,0.24,0,0.06,0.74
305,Turok,X360,2008,Shooter,Touchstone,0.45,0.2,0.01,0.07,0.73
306,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.41,0.26,0,0.06,0.73
307,Final Fantasy XIII-2,X360,2011,Role-Playing,Square Enix,0.36,0.29,0.02,0.06,0.73
308,Skylanders: Trap Team,X360,2014,Action,Activision,0.42,0.24,0,0.06,0.72
309,Toy Story 3: The Video Game,X360,2010,Action,Disney Interactive Studios,0.39,0.27,0,0.07,0.72
310,NCAA Football 07,X360,2006,Sports,Electronic Arts,0.66,0,0,0.05,0.72
311,NHL 11,X360,2010,Sports,Electronic Arts,0.6,0.07,0,0.05,0.72
312,Tales of Vesperia,X360,2008,Role-Playing,Atari,0.3,0.17,0.19,0.05,0.71
313,Major League Baseball 2K7,X360,2007,Sports,Spike,0.66,0,0,0.05,0.71
314,F1 2011,X360,2011,Racing,Codemasters,0.11,0.5,0.01,0.09,0.71
315,Skate,X360,2007,Sports,Electronic Arts,0.61,0.04,0,0.06,0.71
316,Need for Speed Rivals,X360,2013,Racing,Electronic Arts,0.3,0.33,0.01,0.07,0.7
317,DiRT 3,X360,2011,Racing,Codemasters,0.21,0.4,0.01,0.08,0.7
318,Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0.41,0.22,0,0.07,0.7
319,The Walking Dead: A Telltale Games Series,X360,2012,Adventure,Avanquest Software,0.52,0.12,0,0.05,0.7
320,Rocksmith 2014,X360,2013,Misc,Ubisoft,0.49,0.15,0,0.05,0.69
321,NCAA Football 09,X360,2008,Sports,Electronic Arts,0.64,0,0,0.05,0.69
322,Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.34,0.29,0,0.06,0.69
323,NCAA Football 08,X360,2007,Sports,Electronic Arts,0.64,0,0,0.05,0.69
324,NBA Live 09,X360,2008,Sports,Electronic Arts,0.48,0.14,0,0.06,0.69
325,Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,0.33,0.18,0.12,0.06,0.69
326,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,2010,Racing,Sega,0.32,0.29,0,0.07,0.68
327,X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,Activision,0.42,0.2,0,0.06,0.68
328,NHL 12,X360,2011,Sports,Electronic Arts,0.53,0.1,0,0.05,0.68
329,SSX,X360,2012,Sports,Electronic Arts,0.36,0.25,0,0.06,0.68
330,The Amazing Spider-Man (Console Version),X360,2012,Action,Activision,0.39,0.23,0,0.06,0.68
331,MotionSports,X360,2010,Sports,Ubisoft,0.36,0.25,0,0.06,0.68
332,Test Drive Unlimited 2,X360,N/A,Racing,Atari,0.29,0.31,0,0.07,0.67
333,The Last Remnant,X360,2008,Role-Playing,Square Enix,0.24,0.2,0.18,0.06,0.67
334,MX vs. ATV Reflex,X360,2009,Racing,THQ,0.48,0.13,0,0.06,0.67
335,Driver: San Francisco,X360,2011,Racing,Ubisoft,0.23,0.36,0,0.08,0.67
336,Shrek the Third,X360,2007,Action,Activision,0.53,0.08,0,0.05,0.66
337,NHL 10,X360,2009,Sports,Electronic Arts,0.5,0.1,0,0.06,0.65
338,Omerta: City of Gangsters,X360,2011,Simulation,Konami Digital Entertainment,0.38,0.21,0,0.05,0.65
339,Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,0.35,0.23,0,0.07,0.64
340,NHL 13,X360,2012,Sports,Electronic Arts,0.49,0.1,0,0.04,0.64
341,Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,0.32,0.25,0,0.07,0.64
342,Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0.4,0.17,0.01,0.05,0.64
343,Tiger Woods PGA Tour 10,X360,2009,Sports,Electronic Arts,0.38,0.2,0,0.06,0.64
344,Stuntman: Ignition,X360,2007,Racing,THQ,0.24,0.31,0,0.07,0.63
345,MX vs. ATV Untamed,X360,2007,Racing,THQ,0.5,0.07,0,0.05,0.63
346,Juiced 2: Hot Import Nights,X360,2007,Racing,THQ,0.21,0.34,0,0.07,0.62
347,LEGO Star Wars II: The Original Trilogy,X360,2006,Action,LucasArts,0.54,0.03,0,0.05,0.62
348,Transformers: Revenge of the Fallen,X360,2009,Action,Activision,0.33,0.23,0,0.06,0.62
349,The Lord of the Rings: Conquest,X360,2009,Action,Electronic Arts,0.36,0.2,0,0.06,0.61
350,Wall-E,X360,2008,Platform,THQ,0.29,0.26,0,0.06,0.61
351,Condemned 2: Bloodshot,X360,2008,Shooter,Sega,0.37,0.19,0,0.06,0.61
352,Ghostbusters: The Video Game,X360,2009,Action,Atari,0.42,0.14,0,0.05,0.61
353,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.29,0.26,0,0.06,0.61
354,pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0,0.07,0.61
355,Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.39,0.16,0,0.05,0.6
356,Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,0.39,0.16,0,0.05,0.6
357,Tony Hawk: RIDE,X360,2009,Sports,Activision,0.45,0.1,0,0.05,0.6
358,Major League Baseball 2K9,X360,2009,Sports,Spike,0.55,0,0,0.04,0.6
359,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.29,0.24,0,0.06,0.6
360,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.55,0,0,0.04,0.6
361,XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,0.33,0.21,0,0.05,0.59
362,Transformers: The Game,X360,2007,Action,Activision,0.5,0.04,0,0.05,0.59
363,Madden NFL 06,X360,N/A,Sports,Electronic Arts,0.54,0,0.01,0.03,0.59
364,Split/Second,X360,2010,Racing,Disney Interactive Studios,0.31,0.22,0,0.06,0.59
365,Beijing 2008,X360,2008,Sports,Sega,0.14,0.38,0,0.07,0.59
366,PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.48,0.03,0.03,0.05,0.58
367,Dragon Ball: Raging Blast 2,X360,2010,Fighting,Namco Bandai Games,0.44,0.09,0.01,0.04,0.58
368,Far Cry 4,X360,2014,Shooter,Ubisoft,0.23,0.3,0,0.06,0.58
369,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.29,0.23,0,0.06,0.58
370,Monopoly,X360,2008,Misc,Electronic Arts,0.33,0.19,0,0.06,0.58
371,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.23,0.28,0,0.06,0.58
372,Lost: Via Domus,X360,2008,Action,Ubisoft,0.17,0.34,0,0.07,0.58
373,NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.53,0,0,0.04,0.57
374,Blur,X360,2010,Racing,Activision,0.24,0.27,0,0.06,0.57
375,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.3,0.19,0.02,0.06,0.57
376,Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.28,0.22,0,0.06,0.57
377,Spider-Man 3,X360,2007,Platform,Activision,0.48,0.03,0,0.04,0.56
378,Top Spin 3,X360,2008,Sports,Take-Two Interactive,0.09,0.4,0,0.07,0.56
379,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.06,0.43,0,0.07,0.56
380,Iron Man,X360,2008,Action,Sega,0.27,0.24,0,0.06,0.56
381,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.36,0.13,0.02,0.04,0.56
382,LEGO Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.27,0.23,0,0.05,0.55
383,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.33,0.17,0,0.05,0.55
384,Transformers: War for Cybertron,X360,2010,Action,Activision,0.35,0.15,0,0.05,0.55
385,Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,0.19,0.31,0,0.06,0.55
386,Tony Hawk's Proving Ground,X360,2007,Sports,Activision,0.49,0.02,0,0.04,0.55
387,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.23,0.26,0,0.06,0.55
388,Disney Universe,X360,2011,Action,Disney Interactive Studios,0.36,0.14,0,0.05,0.55
389,DEFIANCE,X360,2013,Action,Trion Worlds,0.36,0.14,0,0.04,0.55
390,LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.39,0.11,0,0.05,0.55
391,The Walking Dead: Survival Instinct,X360,2013,Misc,Activision,0.4,0.11,0,0.04,0.54
392,Wolfenstein,X360,2009,Shooter,Activision,0.27,0.22,0,0.06,0.54
393,Dark Souls II,X360,2014,Action,Namco Bandai Games,0.31,0.18,0.01,0.04,0.54
394,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.33,0.15,0.01,0.05,0.54
395,Tiger Woods PGA Tour 08,X360,2007,Sports,Electronic Arts,0.48,0.02,0,0.04,0.54
396,Forza Horizon 2,X360,2014,Action,Microsoft Game Studios,0.23,0.26,0,0.05,0.54
397,Enslaved: Odyssey to the West,X360,2010,Action,Namco Bandai Games,0.3,0.19,0,0.05,0.53
398,MX vs. ATV: Alive,X360,2011,Racing,THQ,0.36,0.13,0,0.04,0.53
399,Sacred 2: Fallen Angel,X360,2009,Role-Playing,Deep Silver,0.28,0.16,0.04,0.05,0.53
400,Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,0.13,0.33,0,0.06,0.53
401,METRO 2033,X360,2010,Shooter,THQ,0.21,0.23,0.03,0.05,0.53
402,Two Worlds II,X360,2011,Role-Playing,Unknown,0.38,0.07,0.03,0.03,0.52
403,Payday 2,X360,2013,Action,505 Games,0.28,0.19,0,0.04,0.52
404,F.E.A.R. 2: Project Origin,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.31,0.15,0,0.05,0.51
405,Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Fighting,Namco Bandai Games,0.37,0.1,0.01,0.04,0.51
406,IL-2 Sturmovik: Birds of Prey,X360,2009,Simulation,505 Games,0.23,0.23,0,0.05,0.51
407,Tiger Woods PGA Tour 11,X360,2010,Sports,Electronic Arts,0.27,0.19,0,0.05,0.51
408,NBA Live 08,X360,2007,Sports,Electronic Arts,0.46,0,0,0.04,0.5
409,NHL 09,X360,2008,Sports,Electronic Arts,0.45,0.01,0,0.04,0.5
410,TMNT,X360,2007,Action,Ubisoft,0.43,0.03,0,0.04,0.5
411,Sesame Street: Once Upon A Monster,X360,2011,Misc,Warner Bros. Interactive Entertainment,0.38,0.08,0,0.04,0.5
412,Pro Evolution Soccer 2012,X360,2011,Sports,Konami Digital Entertainment,0.1,0.34,0,0.06,0.5
413,Major League Baseball 2K10,X360,2010,Sports,Take-Two Interactive,0.46,0,0,0.03,0.49
414,NHL 14,X360,2013,Sports,Electronic Arts,0.37,0.09,0,0.03,0.49
415,The Saboteur,X360,2009,Action,Electronic Arts,0.25,0.2,0,0.05,0.49
416,WWE SmackDown vs. RAW 2007,X360,2006,Fighting,THQ,0.43,0.02,0,0.04,0.49
417,NBA Street Homecourt,X360,2007,Sports,Electronic Arts,0.44,0.01,0,0.04,0.49
418,Wet,X360,N/A,Shooter,Bethesda Softworks,0.22,0.2,0.01,0.05,0.49
419,Dance Dance Revolution Universe 2,X360,2007,Simulation,Konami Digital Entertainment,0.45,0,0,0.04,0.49
420,F1 2012,X360,2012,Racing,Codemasters,0.1,0.34,0,0.06,0.49
421,Dragon Ball: Raging Blast,X360,2009,Fighting,Namco Bandai Games,0.35,0.08,0.02,0.04,0.49
422,Tiger Woods PGA Tour 13,X360,2012,Sports,Electronic Arts,0.27,0.17,0,0.04,0.49
423,Alone in the Dark,X360,2008,Adventure,Atari,0.13,0.3,0,0.05,0.48
424,Scene It? Lights Camera Action,X360,2007,Misc,Microsoft Game Studios,0.43,0.01,0,0.04,0.48
425,You're in the Movies,X360,2008,Misc,Microsoft Game Studios,0.26,0.17,0,0.05,0.48
426,Tony Hawk's Project 8,X360,2006,Sports,Activision,0.43,0.02,0,0.04,0.48
427,Dragon Ball Z: Burst Limit,X360,2008,Fighting,Atari,0.23,0.18,0.03,0.05,0.48
428,Burnout Revenge,X360,2006,Racing,Electronic Arts,0.4,0.04,0,0.04,0.48
429,Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.23,0.19,0,0.05,0.48
430,FIFA World Cup Germany 2006,X360,2006,Sports,Electronic Arts,0.19,0.27,0.01,0,0.48
431,Dark Sector,X360,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48
432,Kane & Lynch 2: Dog Days,X360,2010,Shooter,Square Enix,0.19,0.22,0.01,0.05,0.48
433,Disney Epic Mickey 2: The Power of Two,X360,2012,Action,Disney Interactive Studios,0.3,0.14,0,0.04,0.48
434,Major League Baseball 2K12,X360,2012,Sports,Take-Two Interactive,0.45,0,0,0.03,0.47
435,Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.29,0.14,0,0.04,0.47
436,Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.28,0.12,0.03,0.04,0.47
437,Tiger Woods PGA Tour 07,X360,2006,Sports,Electronic Arts,0.43,0,0,0.04,0.47
438,Shadowrun,X360,2007,Role-Playing,Microsoft Game Studios,0.41,0.02,0,0.03,0.46
439,Crash: Mind Over Mutant,X360,2008,Platform,Vivendi Games,0.21,0.2,0,0.05,0.46
440,Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Fighting,Namco Bandai Games,0.26,0.16,0.01,0.04,0.46
441,Alice: Madness Returns,X360,2011,Adventure,Electronic Arts,0.24,0.14,0.04,0.04,0.46
442,Viva Pinata: Trouble in Paradise,X360,2008,Simulation,Microsoft Game Studios,0.15,0.25,0.01,0.05,0.46
443,Dead or Alive 4,X360,2005,Fighting,Tecmo Koei,0.29,0.03,0.1,0.03,0.46
444,James Bond 007: Blood Stone,X360,2010,Action,Activision,0.18,0.23,0,0.05,0.46
445,WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.26,0.15,0,0.04,0.46
446,Dragon Age Origins: Awakening,X360,2010,Role-Playing,Electronic Arts,0.32,0.1,0,0.04,0.45
447,Rise of Nightmares,X360,2011,Action,Sega,0.27,0.13,0.01,0.04,0.45
448,Unreal Tournament III,X360,2008,Shooter,Midway Games,0.23,0.17,0.01,0.04,0.45
449,Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0,0.05,0.45
450,The Golden Compass,X360,2007,Action,Sega,0.29,0.12,0,0.04,0.45
451,Lollipop Chainsaw,X360,2012,Action,Warner Bros. Interactive Entertainment,0.28,0.11,0.02,0.03,0.45
452,Sega Rally Revo,X360,2007,Racing,Sega,0.11,0.28,0,0.05,0.44
453,TNA iMPACT!,X360,2008,Fighting,Midway Games,0.25,0.15,0,0.04,0.44
454,Command & Conquer: Red Alert 3,X360,2008,Strategy,Electronic Arts,0.17,0.23,0,0.05,0.44
455,Cars 2,X360,2011,Platform,Disney Interactive Studios,0.25,0.15,0,0.04,0.44
456,Harry Potter and the Deathly Hallows - Part 1,X360,2010,Action,Electronic Arts,0.2,0.19,0,0.04,0.44
457,Street Fighter X Tekken,X360,2012,Fighting,Capcom,0.28,0.1,0.03,0.03,0.44
458,Viking: Battle for Asgard,X360,2008,Action,Sega,0.16,0.23,0,0.05,0.44
459,NBA Live 10,X360,2009,Sports,Electronic Arts,0.39,0.01,0,0.03,0.44
460,Doom 3 BFG Edition,X360,2012,Shooter,Bethesda Softworks,0.25,0.15,0,0.04,0.44
461,Brunswick Pro Bowling,X360,2010,Sports,505 Games,0.37,0.04,0,0.03,0.43
462,Enemy Territory: Quake Wars,X360,2008,Shooter,Activision,0.28,0.11,0,0.04,0.43
463,Need for Speed: Shift 2 Unleashed,X360,2011,Racing,Electronic Arts,0.18,0.21,0,0.04,0.43
464,Naruto Shippuden: Ultimate Ninja STORM Generations,X360,2012,Fighting,Namco Bandai Games,0.25,0.14,0.01,0.04,0.43
465,Silent Hill: Homecoming,X360,N/A,Action,Konami Digital Entertainment,0.24,0.15,0,0.04,0.43
466,Major League Baseball 2K11,X360,2011,Sports,Take-Two Interactive,0.38,0.02,0,0.03,0.43
467,NBA Live 07,X360,2006,Sports,Electronic Arts,0.4,0,0,0.03,0.43
468,F.E.A.R. 3,X360,2011,Shooter,Warner Bros. Interactive Entertainment,0.28,0.1,0.01,0.03,0.42
469,The Darkness,X360,2007,Shooter,Take-Two Interactive,0.34,0.04,0.01,0.03,0.42
470,Robert Ludlum's The Bourne Conspiracy,X360,N/A,Action,Vivendi Games,0.24,0.14,0,0.04,0.42
471,Child of Eden,X360,2011,Shooter,Ubisoft,0.26,0.12,0,0.04,0.41
472,Command & Conquer 3: Tiberium Wars,X360,2007,Strategy,Electronic Arts,0.34,0.04,0,0.03,0.41
473,Disney Sing It,X360,2008,Misc,Disney Interactive Studios,0.37,0.01,0,0.03,0.41
474,Devil May Cry HD Collection,X360,2012,Action,Capcom,0.27,0.1,0.01,0.03,0.41
475,Vanquish,X360,2010,Adventure,Sega,0.18,0.17,0.03,0.04,0.41
476,Blazing Angels: Squadrons of WWII,X360,2006,Simulation,Ubisoft,0.35,0.02,0,0.03,0.41
477,Transformers: Fall of Cybertron,X360,2012,Action,Activision,0.25,0.12,0,0.03,0.41
478,Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.24,0.13,0,0.03,0.41
479,Spider-Man: Web of Shadows,X360,2008,Action,Activision,0.36,0.02,0,0.03,0.4
